hspt_name,url,depth,text,date
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=612&cate_no=2&cate_code=&board_style=view,1,"세흥병원/ 
				MRI¶û CTÃÔ¿µ³»¿ëÀ» ¹Ş°í ½Í½À´Ï´Ù.				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=614&cate_no=2&cate_code=&board_style=view,1,"세흥병원/ 
				¿µ»óÀÇÇĞ°úÀÚ·á °ü·Ã ´äº¯								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1937&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°Ü¿ïÃ¶ ³«»ó¿¹¹æ ¼öÄ¢								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1927&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				65¼¼ ÀÌ»ó ÁÖÀÇÇØ¾ß ÇÏ´Â Æó·Å								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1902&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°üÀı³»½Ã°æÀÌ¶õ?								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1845&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				Àş¾úÀ»¶§ ¾Æ³¢°í º¸È£ÇØ¾ß ÇÒ ´ç½ÅÀÇ ¹«¸­								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1842&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				³» ¸öÀ» °¡º±°Ô ÇÏ´Â ½ºÆ®·¹Äª								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1817&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				´ë»óÆ÷Áø? ·ù¸¶Æ¼½º? ´Ù ¸é¿ª ¶§¹®ÀÌ¾ß!								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1801&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°üÀıÀÌ °Ç°­ÇØ¾ß ÀÏ»óÀÌ ÆíÇÏ´Ù								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1248&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°ñ´Ù°øÁõ-°Ç°­ÇÑ »ÀÀÇ Ã´µµ, °ñ¹Ğµµ								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1238&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				ÅëÁõÀº ³» ¸öÀ» º¸È£ÇÏ·Á°í º¸³»´Â °æ°íµîÀÌ´Ù.								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1187&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				³» ¸ö¾Æ °Ç°­ÇÏ´Ï?								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1176&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿À¸£¶ô ³»¸®¶ô Ç÷´ç ÀÌ¾ß±â								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1144&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				±ÙÀ°À» »ç¶ûÇÏ¶ó								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1141&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¹«¸­°üÀıÀ» °­È­ÇÏ´Â Çã¹÷Áö¿îµ¿								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1129&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				Ãß¼®¿¬ÈŞ °Ç°­»ó½Ä ²Ä²ÄÇÏ°Ô Ã¬°Ü¼­ ¾Ë¾ÆµÎ¼¼¿ä~!								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1125&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿Â¿­ÁúÈ¯VS³Ã¹æº´ ÀÌ·¸°Ô ÀÌ°Ü³»ÀÚ								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1122&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°£°Ë»ç - ¼öÄ¡·Î º¸´Â °Ç°­								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1121&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				½ÄÁßµ¶ - Æò¼Ò ¾Ë¾ÆµÎ¾î¾ß ÇÒ °Ç°­»ó½Ä								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1114&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				²ÉÀ¸·Î È­»çÇÑ º½³¯ ¹Ì¼¼¸ÕÁöÀÇ ½À°İ								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1110&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				À¯µ¶ º½À» Åº´Ù¸é? ¸öÀÌ º¸³»´Â °Ç°­ ½ÅÈ£								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1109&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				´ç½ÅÀÌ ¿îµ¿À» ½ÃÀÛÇØ¾ß ÇÏ´Â 7°¡Áö ÀÌÀ¯								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1076&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿¹»óº¸´Ù »¡¸® Ã£¾Æ¿À´Â ½ÄÁßµ¶, Ä¡·á¿Í ¿¹¹æÀº?								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1072&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°©ÀÚ±â Ã£¾Æ¿À´Â ºÒÃ»°´, ³úÇ÷°üÁúÈ¯!~								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1055&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				""¾ÆÀÌ°í »è½ÅÀÌ¾ß!!"" - ³¯¾¾¿¡ µû¶ó º¯È­¹«½Ö, ÅğÇà¼º °üÀı¿°								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1047&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				·Îº¿Ã³·³ »ß±×´ö ´ë´Â ³» ¹«¸­, È¤½Ã ¹«¸­°üÀıÁõ?								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1043&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°¡·Á¿ò, ¾ÇÃë, °¢Áú! Áö±ßÁö±ßÇÑ ¹«Á»!								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=1033&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿©¸§Ã¶ ºÒÃ»°´? ½ÄÁßµ¶								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=997&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				Ä¡¸Å ¿¹¹æÀ» À§ÇÑ ÀÎÁö°Ç°­¼öÄ¢								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=933&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				´ç´¢¸¦ ´Ù½º¸®´Â °Ç°­ÇÑ »ıÈ° ¹ä»ó								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=932&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				½Ò½ÒÇÑ ³¯¾¾¿¡ ´ë»óÆ÷Áø ÁÖÀÇº¸								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=931&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°¡À»Áß¿¡ °¡Àå¸¹ÀÌ ¹ß»ıÇÏ´Â Áúº´Áß ÇÏ³ª À¯Çà¼º ÃâÇ÷¿­								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=857&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				±Ø¿ÜÃø ¿äÃß ÁúÈ¯¿¡ ´ëÇÑ ¼³¸í ¹× Çã¸® Ã´Ãß¿îµ¿, ½Ä»ıÈ°, ÀÏ»ó»ıÈ°½Ã..								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=734&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				±ÙÀ° ¼Õ»ó ÁÙÀÌ°í Á¦´ë·Î µî»êÇÏ´Â ¹ı								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=669&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				100¼¼±îÁö Ã»³âÃ³·³								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=620&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				ÀÀ±Ş´ëÃ³¿ä·É / ¹ß¸ñÀÌ ´ÙÃÆÀ»¶§								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=619&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				ÀÀ±Ş´ëÃ³¿ä·É/ ¿°ÁÂ, ÁÂ»ó, Å»±¸								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=581&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿¬·É´ëº°·Î ÀûÇÕÇÑ »õÇØ °Ç°­¼³°è								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=551&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿¬¸» ¼úÀÚ¸®, ¼úÀº °ÅÀÇ ¸ğµç Á¶Á÷¿¡ ¿µÇâÀ» ÁØ´Ù								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=464&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				Ä«ÆÈÅÍ³Î(¼Õ¸ñÅÍ³Î)ÁõÈÄ±ºÀÇ ¿øÀÎ°ú Áõ»ó								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=461&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				¿¬°ñ¹«¼ºÇüÁõÀÇ Áõ»ó°ú Áø´Ü								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=457&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°­Á÷¼º Ã´Ãß¿°Àº ¾î¶»°Ô Ä¡·áÇÏ³ª¿ä?								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=11&target=456&cate_no=1&cate_code=&board_style=view,1,"세흥병원/ 
				°­Á÷¼º Ã´Ãß¿°ÀÇ Áõ»óÀº ¹«¾ùÀÎ°¡¿ä?								",200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=12&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=13&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=14&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=15&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=16&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=17&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=18&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=19&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음10개,200326
척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp?page=21&?Page=20&PageSize=5&Key=&Keyword=&Gubun=,1,척시원병원/다음,200326
의료법인 우신향병원,http://www.wshmc.co.kr/sub/s0502.php?t=v&bbs_data=aWR4PTI2ODAmc3RhcnRQYWdlPTE0NCZjYXRlX2lkeD0mdGFibGU9Y3NfYmJzX2RhdGEmY29kZT1jb3Vuc2VsJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9||&PHPSESSID=7141e0ab46880a831e2b46e3a08bb840,1,"의료법인 우신향병원/딸이 운동하다 다쳐서 오른무릎 십자 인대,외측인대,...",200326
의료법인 우신향병원,http://www.wshmc.co.kr/sub/s0502.php?t=v&bbs_data=aWR4PTI0NTUmc3RhcnRQYWdlPTIyOCZjYXRlX2lkeD0mdGFibGU9Y3NfYmJzX2RhdGEmY29kZT1jb3Vuc2VsJnNlYXJjaF9pdGVtPSZzZWFyY2hfb3JkZXI9||&PHPSESSID=7141e0ab46880a831e2b46e3a08bb840,1,의료법인 우신향병원/오른쪽 무릎 전방 십자인대 관련입니다.,200326
의료법인나누리의료재단나누리병원,http://www.nanoori.co.kr/gn/policy/policy4?pg=11&&sca=cd01,1,의료법인나누리의료재단나누리병원/다음,200326
의료법인나누리의료재단나누리병원,http://www.nanoori.co.kr/gn/policy/policy4?pg=11&&sca=cd06,1,의료법인나누리의료재단나누리병원/다음,200326
의료법인 우신향병원,http://www.wshmc.co.kr/sub/s0502.php?t=v&bbs_data=aWR4PTMwMTQmc3RhcnRQYWdlPTcyJmNhdGVfaWR4PSZ0YWJsZT1jc19iYnNfZGF0YSZjb2RlPWNvdW5zZWwmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0=||&PHPSESSID=0f6ed840e7a12c6891f738011d1af385,1,의료법인 우신향병원/어깨아픔과 오른쪽다리 저림,200326
